base rep M N OS type no group Source
01  15 20 0.85619 GSS NA NA GSSNasAdmu
02  15 20 0.85619 GSS NA NA GSSNasAdmu
03  15 20 0.85619 GSS NA NA GSSNasAdmu
04  15 20 0.85619 GSS NA NA GSSNasAdmu
05  15 20 0.85619 GSS NA NA GSSNasAdmu
06  20 20 0.820789 GSS NA NA GSSNasAdmu
07  20 20 0.820789 GSS NA NA GSSNasAdmu
08  20 20 0.820789 GSS NA NA GSSNasAdmu
09  20 20 0.820789 GSS NA NA GSSNasAdmu
10  20 20 0.820789 GSS NA NA GSSNasAdmu
11  15 30 0.851746 GSS NA NA GSSNasAdmu
12  15 30 0.851746 GSS NA NA GSSNasAdmu
13  15 30 0.851746 GSS NA NA GSSNasAdmu
14  15 30 0.851746 GSS NA NA GSSNasAdmu
15  15 30 0.851746 GSS NA NA GSSNasAdmu
16  20 30 0.802281 GSS NA NA GSSNasAdmu
17  20 30 0.802281 GSS NA NA GSSNasAdmu
18  20 30 0.802281 GSS NA NA GSSNasAdmu
19  20 30 0.802281 GSS NA NA GSSNasAdmu
20  20 30 0.802281 GSS NA NA GSSNasAdmu
21  15 40 0.853095 GSS NA NA GSSNasAdmu
22  15 40 0.853095 GSS NA NA GSSNasAdmu
23  15 40 0.853095 GSS NA NA GSSNasAdmu
24  15 40 0.853095 GSS NA NA GSSNasAdmu
25  15 40 0.853095 GSS NA NA GSSNasAdmu
26  20 40 0.888684 GSS NA NA GSSNasAdmu
27  20 40 0.888684 GSS NA NA GSSNasAdmu
28  20 40 0.888684 GSS NA NA GSSNasAdmu
29  20 40 0.888684 GSS NA NA GSSNasAdmu
30  20 40 0.888684 GSS NA NA GSSNasAdmu
31  15 50 0.819048 GSS NA NA GSSNasAdmu
32  15 50 0.819048 GSS NA NA GSSNasAdmu
33  15 50 0.819048 GSS NA NA GSSNasAdmu
34  15 50 0.819048 GSS NA NA GSSNasAdmu
35  15 50 0.819048 GSS NA NA GSSNasAdmu
36  20 50 0.801263 GSS NA NA GSSNasAdmu
37  20 50 0.801263 GSS NA NA GSSNasAdmu
38  20 50 0.801263 GSS NA NA GSSNasAdmu
39  20 50 0.801263 GSS NA NA GSSNasAdmu
40  20 50 0.801263 GSS NA NA GSSNasAdmu
