base rep M N OS type no group Source
01  4 4 0 OSS NA NA OSSTai
02  4 4 0 OSS NA NA OSSTai
03  4 4 0 OSS NA NA OSSTai
04  4 4 0 OSS NA NA OSSTai
05  4 4 0 OSS NA NA OSSTai
06  4 4 0 OSS NA NA OSSTai
07  4 4 0 OSS NA NA OSSTai
08  4 4 0 OSS NA NA OSSTai
09  4 4 0 OSS NA NA OSSTai
10  4 4 0 OSS NA NA OSSTai
11  5 5 0 OSS NA NA OSSTai
12  5 5 0 OSS NA NA OSSTai
13  5 5 0 OSS NA NA OSSTai
14  5 5 0 OSS NA NA OSSTai
15  5 5 0 OSS NA NA OSSTai
16  5 5 0 OSS NA NA OSSTai
17  5 5 0 OSS NA NA OSSTai
18  5 5 0 OSS NA NA OSSTai
19  5 5 0 OSS NA NA OSSTai
20  5 5 0 OSS NA NA OSSTai
21  7 7 0 OSS NA NA OSSTai
22  7 7 0 OSS NA NA OSSTai
23  7 7 0 OSS NA NA OSSTai
24  7 7 0 OSS NA NA OSSTai
25  7 7 0 OSS NA NA OSSTai
26  7 7 0 OSS NA NA OSSTai
27  7 7 0 OSS NA NA OSSTai
28  7 7 0 OSS NA NA OSSTai
29  7 7 0 OSS NA NA OSSTai
30  7 7 0 OSS NA NA OSSTai
31  10 10 0 OSS NA NA OSSTai
32  10 10 0 OSS NA NA OSSTai
33  10 10 0 OSS NA NA OSSTai
34  10 10 0 OSS NA NA OSSTai
35  10 10 0 OSS NA NA OSSTai
36  10 10 0 OSS NA NA OSSTai
37  10 10 0 OSS NA NA OSSTai
38  10 10 0 OSS NA NA OSSTai
39  10 10 0 OSS NA NA OSSTai
40  10 10 0 OSS NA NA OSSTai
41  15 15 0 OSS NA NA OSSTai
42  15 15 0 OSS NA NA OSSTai
43  15 15 0 OSS NA NA OSSTai
44  15 15 0 OSS NA NA OSSTai
45  15 15 0 OSS NA NA OSSTai
46  15 15 0 OSS NA NA OSSTai
47  15 15 0 OSS NA NA OSSTai
48  15 15 0 OSS NA NA OSSTai
49  15 15 0 OSS NA NA OSSTai
50  15 15 0 OSS NA NA OSSTai
51  20 20 0 OSS NA NA OSSTai
52  20 20 0 OSS NA NA OSSTai
53  20 20 0 OSS NA NA OSSTai
54  20 20 0 OSS NA NA OSSTai
55  20 20 0 OSS NA NA OSSTai
56  20 20 0 OSS NA NA OSSTai
57  20 20 0 OSS NA NA OSSTai
58  20 20 0 OSS NA NA OSSTai
59  20 20 0 OSS NA NA OSSTai
60  20 20 0 OSS NA NA OSSTai
