base rep M N OS type no group Source
16 10 0  10 20 0.5 GSS NA NA MSSliu
16 10 1  10 20 0.5 GSS NA NA MSSliu
16 10 2  10 20 0.5 GSS NA NA MSSliu
16 10 3  10 20 0.5 GSS NA NA MSSliu
16 10 4  10 20 0.5 GSS NA NA MSSliu
16 10 5  10 20 0.5 GSS NA NA MSSliu
16 10 6  10 20 0.5 GSS NA NA MSSliu
16 10 7  10 20 0.5 GSS NA NA MSSliu
16 10 8  10 20 0.5 GSS NA NA MSSliu
16 10 9  10 20 0.5 GSS NA NA MSSliu
16 15 0  10 25 0.4 GSS NA NA MSSliu
16 15 1  10 25 0.4 GSS NA NA MSSliu
16 15 2  10 25 0.4 GSS NA NA MSSliu
16 15 3  10 25 0.4 GSS NA NA MSSliu
16 15 4  10 25 0.4 GSS NA NA MSSliu
16 15 5  10 25 0.4 GSS NA NA MSSliu
16 15 6  10 25 0.4 GSS NA NA MSSliu
16 15 7  10 25 0.4 GSS NA NA MSSliu
16 15 8  10 25 0.4 GSS NA NA MSSliu
16 15 9  10 25 0.4 GSS NA NA MSSliu
16 20 0  10 30 0.333333 GSS NA NA MSSliu
16 20 1  10 30 0.333333 GSS NA NA MSSliu
16 20 2  10 30 0.333333 GSS NA NA MSSliu
16 20 3  10 30 0.333333 GSS NA NA MSSliu
16 20 4  10 30 0.333333 GSS NA NA MSSliu
16 20 5  10 30 0.333333 GSS NA NA MSSliu
16 20 6  10 30 0.333333 GSS NA NA MSSliu
16 20 7  10 30 0.333333 GSS NA NA MSSliu
16 20 8  10 30 0.333333 GSS NA NA MSSliu
16 20 9  10 30 0.333333 GSS NA NA MSSliu
16 5 0  10 15 0.666667 GSS NA NA MSSliu
16 5 1  10 15 0.666667 GSS NA NA MSSliu
16 5 2  10 15 0.666667 GSS NA NA MSSliu
16 5 3  10 15 0.666667 GSS NA NA MSSliu
16 5 4  10 15 0.666667 GSS NA NA MSSliu
16 5 5  10 15 0.666667 GSS NA NA MSSliu
16 5 6  10 15 0.666667 GSS NA NA MSSliu
16 5 7  10 15 0.666667 GSS NA NA MSSliu
16 5 8  10 15 0.666667 GSS NA NA MSSliu
16 5 9  10 15 0.666667 GSS NA NA MSSliu
24 10 0  10 25 0.6 GSS NA NA MSSliu
24 10 1  10 25 0.6 GSS NA NA MSSliu
24 10 2  10 25 0.6 GSS NA NA MSSliu
