ta01Jsp.psi 2.93 
ta02Jsp.psi 38.09
ta03Jsp.psi 43.66
ta04Jsp.psi 38.72
ta05Jsp.psi 11.24
ta06Jsp.psi 178.06 
ta07Jsp.psi 0.60
ta08Jsp.psi 2.43
ta09Jsp.psi 18.66
ta10Jsp.psi 42.25
ta11Jsp.psi 186.19 
ta12Jsp.psi 206.06
ta13Jsp.psi 161.37
ta14Jsp.psi 8.28
ta15Jsp.psi 173.45
ta16Jsp.psi 63.41
ta17Jsp.psi 203.49
ta18Jsp.psi 91.13
ta19Jsp.psi 145.42
ta20Jsp.psi 216.72
ta21Jsp.psi 502.99
ta22Jsp.psi 228.90
ta23Jsp.psi 359.79
ta24Jsp.psi 779.32
ta25Jsp.psi 416.08
ta26Jsp.psi 267.50
ta27Jsp.psi 254.74
ta28Jsp.psi 326.23
ta29Jsp.psi 93.53
ta30Jsp.psi 388.66
ta31Jsp.psi 35.57
ta32Jsp.psi 703.06
ta33Jsp.psi 457.55
ta34Jsp.psi 315.71
ta35Jsp.psi 0.56
ta36Jsp.psi 122.67
ta37Jsp.psi 652.24
ta38Jsp.psi 307.34
ta39Jsp.psi 115.61
ta40Jsp.psi 449.96
ta41Jsp.psi 1267.78
ta42Jsp.psi 1556.36
ta43Jsp.psi 1726.78
ta44Jsp.psi 1304.66
ta45Jsp.psi 1057.79
ta46Jsp.psi 1236.03
ta47Jsp.psi 1030.88
ta48Jsp.psi 1047.42
ta49Jsp.psi 1035.82
ta50Jsp.psi 1318.05

