 dmu41Jsp.psi          417.84    
 dmu42Jsp.psi          448.95    
 dmu43Jsp.psi          399.33    
 dmu44Jsp.psi          371.27    
 dmu45Jsp.psi          709.19    
 dmu46Jsp.psi          984.86    
 dmu47Jsp.psi          829.28    
 dmu48Jsp.psi          938.55    
 dmu49Jsp.psi          633.84    
 dmu50Jsp.psi          609.62    
 dmu51Jsp.psi         2394.25    
 dmu52Jsp.psi         2232.60    
 dmu53Jsp.psi         2161.83    
 dmu54Jsp.psi         1909.53    
 dmu55Jsp.psi         1914.37    
 dmu56Jsp.psi         3825.44    
 dmu57Jsp.psi         3649.41    
 dmu58Jsp.psi         3639.68    
 dmu59Jsp.psi         3614.54    
 dmu60Jsp.psi         3745.91   
 dmu61Jsp.psi         4739.13    
 dmu62Jsp.psi         4853.75    
 dmu63Jsp.psi         4122.65    
 dmu64Jsp.psi         4487.26    
 dmu65Jsp.psi         4963.80    
 dmu66Jsp.psi         9543.86    
 dmu67Jsp.psi         8431.51    
 dmu68Jsp.psi         8739.45    
 dmu69Jsp.psi         8107.63    
 dmu70Jsp.psi         7285.27    
 dmu71Jsp.psi         9835.11    
 dmu72Jsp.psi        10881.79    
 dmu73Jsp.psi        11475.15    
 dmu74Jsp.psi        11164.43    
 dmu75Jsp.psi        11330.86    
 dmu76Jsp.psi         9998.17    
 dmu77Jsp.psi        12062.88    
 dmu78Jsp.psi        10346.61    
 dmu79Jsp.psi         9818.93    
 dmu80Jsp.psi        10331.98    

