2														
6	9													
7														
4	1	1	2	3	1	3								
9														
2	2	1	1	1	2	2	2	2						
9														
1	2	2	2	1	1	1	2	3						
3														
1	7	7												
10														
1	1	1	1	2	1	2	1	1	4					
10														
1	2	1	2	1	2	2	1	1	2					
12														
1	1	1	2	1	1	2	1	1	1	2	1			
5														
2	5	1	2	5										
3														
7	7	1												
5														
1	5	2	6	1										
2														
3	12													
1														
15														
10														
2	1	2	1	1	1	1	2	2	2					
3														
3	1	11												
6														
3	2	3	1	2	4									
8														
2	1	1	2	1	1	2	5							
11														
1	1	1	1	2	2	1	1	2	2	1				
8														
2	2	2	1	2	1	2	3							
2														
5	10													
10														
1	2	1	1	1	2	2	1	1	3					
8														
2	1	2	1	1	1	2	5							
8														
2	2	2	1	1	1	2	4							
12														
2	1	1	1	1	1	1	1	1	1	1	3			
14														
1	1	1	1	1	1	1	1	1	2	1	1	1	1	
9														
2	1	1	1	2	1	2	2	3						
5														
1	1	2	4	7										
14														
1	1	1	1	1	1	1	1	1	1	1	1	1	2	
13														
1	1	1	1	1	1	2	2	1	1	1	1	1		
12														
1	2	1	1	1	1	1	2	1	1	2	1			
12														
1	1	1	1	2	1	2	1	1	1	2	1			
12														
1	2	1	2	1	1	1	1	1	1	2	1			
10														
2	1	1	1	1	2	2	2	1	2					
7														
1	2	2	3	4	1	2								
14														
1	1	1	1	1	1	1	1	2	1	1	1	1	1	
1														
15														
11														
1	2	2	2	1	1	1	1	2	1	1				
9														
2	2	1	2	1	2	1	2	2						
13														
1	1	1	1	2	1	1	1	1	2	1	1	1		
12														
1	1	1	1	1	2	2	1	2	1	1	1			
2														
10	5													
14														
1	1	1	1	2	1	1	1	1	1	1	1	1	1	
13														
1	1	1	2	1	1	1	1	1	1	1	1	2		
9														
1	2	1	2	2	2	2	2	1						
4														
3	1	6	5											
15														
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6														
1	1	4	4	4	1									
7														
2	1	1	1	2	2	6								
11														
1	1	2	1	2	2	2	1	1	1	1				
3														
4	2	9												
