13														
1	1	2	2	2	1	2	1	1	2	1	2	2		
14														
2	2	1	1	1	2	2	2	2	1	1	1	1	1	
1														
20														
13														
2	1	1	1	2	1	2	2	2	2	1	2	1		
13														
1	2	1	2	2	1	2	1	1	1	1	2	3		
11														
2	2	2	2	1	2	1	1	1	2	4				
14														
1	1	1	1	2	1	2	1	2	2	2	2	1	1	
11														
2	2	2	2	1	2	1	1	1	2	4				
8														
2	2	1	1	4	1	3	6							
8														
2	2	4	1	4	1	4	2							
5														
2	6	4	1	7										
4														
2	7	7	4											
6														
6	6	4	2	1	1									
3														
6	1	13												
7														
4	3	2	1	2	4	4								
1														
20														
11														
2	1	2	1	2	1	2	1	1	1	6				
10														
1	3	1	1	3	3	1	1	3	3					
9														
3	3	3	1	2	1	4	1	2						
14														
2	2	1	1	2	1	1	1	2	1	2	1	1	2	
10														
2	1	4	1	4	1	1	3	1	2					
14														
1	1	1	2	1	1	2	1	1	2	2	2	1	2	
13														
1	2	1	2	2	2	1	2	1	2	1	2	1		
6														
5	1	3	4	5	2									
3														
10	3	7												
1														
20														
9														
2	1	1	4	3	3	1	4	1						
7														
1	2	1	1	3	3	9								
5														
1	4	2	2	11										
7														
2	3	1	3	4	3	4								
10														
2	2	3	2	1	2	1	2	4	1					
14														
2	1	1	2	1	1	1	1	2	1	2	1	2	2	
15														
1	1	1	1	2	1	1	2	1	2	1	2	1	2	1
14														
1	1	1	2	1	1	2	2	1	1	2	1	1	3	
10														
1	1	2	2	3	1	2	3	2	3					
6														
6	1	2	3	3	5									
7														
3	2	3	2	1	1	8								
1														
20														
10														
1	3	4	1	4	2	1	2	1	1					
10														
1	2	3	4	1	3	2	1	1	2					
6														
2	5	6	1	3	3									
6														
5	2	5	4	3	1									
5														
2	1	5	6	6										
5														
1	3	2	6	8										
12														
2	2	1	2	1	1	2	1	1	2	2	3			
14														
1	1	2	1	1	2	2	2	1	2	1	1	1	2	
5														
4	5	4	6	1										
10														
2	1	1	2	4	4	1	1	1	3					
4														
3	9	1	7											
8														
1	2	2	1	4	2	4	4							
