Name	BetsKnown BloomTsMakes Time
ft10_1	930	938.90	180
ft10_2	872	885.60	180
ft10_3	827	853.10	180
ft10_4	782	804.00	180
ft10_5	745	761.55	180
ft10_6	725	734.45	180
ft10_7	684	700.7	180
ft10_8	655	655.45	180
ft10_9	655	655	180
ft10_10	655	655	180
la38_1	1196	1235.45	1800
la38_2	1106	1144.30	1800
la38_3	1049	1065.65	1800
la38_4	997	1029.55	1800
la38_5	990	1018.90	1800
la38_6	969	984.30	1800
la38_7	954	978.80	1800
la38_8	951	968.75	1800
la38_9	957	974.65	1800
la38_10	970	984.65	1800
la38_11	979	985.85	1800
la38_12	946	951.90	1800
la38_13	943	943.00	1800
la38_14	943	943.00	1800
la38_15	943	943.00	1800
abz7_1	656	681.20	1800
abz7_2	641	645.40	1800
abz7_3	612	612.40	1800
abz7_4	609	609.00	1800
abz7_5	638	638.00	1800
abz7_6	600	600.00	1800
abz7_7	567	569.00	1800
abz7_8	577	577.00	1800
abz7_9	577	577.00	1800
abz7_10	612	612.00	1800
abz7_11	610	610.00	1800
abz7_12	592	592.00	1800
abz7_13	581	581.00	1800
abz7_14	562	562.00	1800
abz7_15	556	556.00	1800
whizzkids97	469 495.15	1800

